Mes,Precio_m2
Junio 2024,15.1 €/m2
Mayo 2024,14.8 €/m2
Abril 2024,14.6 €/m2
Marzo 2024,14.1 €/m2
Febrero 2024,14.0 €/m2
Enero 2024,13.8 €/m2
Diciembre 2023,13.8 €/m2
Noviembre 2023,13.7 €/m2
Octubre 2023,13.5 €/m2
Septiembre 2023,13.5 €/m2
Agosto 2023,13.6 €/m2
Julio 2023,13.7 €/m2
Junio 2023,13.4 €/m2
Mayo 2023,13.1 €/m2
Abril 2023,12.8 €/m2
Marzo 2023,12.5 €/m2
Febrero 2023,12.3 €/m2
Enero 2023,12.3 €/m2
Diciembre 2022,12.1 €/m2
Noviembre 2022,11.9 €/m2
Octubre 2022,11.6 €/m2
Septiembre 2022,11.5 €/m2
Agosto 2022,11.4 €/m2
Julio 2022,11.4 €/m2
Junio 2022,11.3 €/m2
Mayo 2022,10.9 €/m2
Abril 2022,10.6 €/m2
Marzo 2022,10.3 €/m2
Febrero 2022,10.3 €/m2
Enero 2022,10.2 €/m2
Diciembre 2021,10.0 €/m2
Noviembre 2021,9.9 €/m2
Octubre 2021,9.7 €/m2
Septiembre 2021,9.6 €/m2
Agosto 2021,9.6 €/m2
Julio 2021,9.6 €/m2
Junio 2021,9.5 €/m2
Mayo 2021,9.4 €/m2
Abril 2021,9.4 €/m2
Marzo 2021,9.3 €/m2
Febrero 2021,9.4 €/m2
Enero 2021,9.4 €/m2
Diciembre 2020,9.5 €/m2
Noviembre 2020,9.6 €/m2
Octubre 2020,9.6 €/m2
Septiembre 2020,9.7 €/m2
Agosto 2020,9.8 €/m2
Julio 2020,9.8 €/m2
Junio 2020,9.9 €/m2
Mayo 2020,9.8 €/m2
Abril 2020,9.7 €/m2
Marzo 2020,9.6 €/m2
Febrero 2020,9.6 €/m2
Enero 2020,9.6 €/m2
Diciembre 2019,9.7 €/m2
Noviembre 2019,9.7 €/m2
Octubre 2019,9.6 €/m2
Septiembre 2019,9.5 €/m2
Agosto 2019,9.5 €/m2
Julio 2019,9.5 €/m2
Junio 2019,9.4 €/m2
Mayo 2019,9.3 €/m2
Abril 2019,9.3 €/m2
Marzo 2019,9.2 €/m2
Febrero 2019,9.2 €/m2
Enero 2019,9.2 €/m2
Diciembre 2018,9.3 €/m2
Noviembre 2018,9.3 €/m2
Octubre 2018,9.3 €/m2
Septiembre 2018,9.2 €/m2
Agosto 2018,9.3 €/m2
Julio 2018,9.3 €/m2
Junio 2018,9.2 €/m2
Mayo 2018,9.1 €/m2
Abril 2018,9.0 €/m2
Marzo 2018,8.9 €/m2
Febrero 2018,8.9 €/m2
Enero 2018,8.8 €/m2
Diciembre 2017,8.7 €/m2
Noviembre 2017,8.5 €/m2
Octubre 2017,8.4 €/m2
Septiembre 2017,8.3 €/m2
Agosto 2017,8.2 €/m2
Julio 2017,8.2 €/m2
Junio 2017,8.1 €/m2
Mayo 2017,7.9 €/m2
Abril 2017,7.8 €/m2
Marzo 2017,7.7 €/m2
Febrero 2017,7.6 €/m2
Enero 2017,7.6 €/m2
Diciembre 2016,7.5 €/m2
Noviembre 2016,7.5 €/m2
Octubre 2016,7.4 €/m2
Septiembre 2016,7.3 €/m2
Agosto 2016,7.4 €/m2
Julio 2016,7.3 €/m2
Junio 2016,7.3 €/m2
Mayo 2016,7.2 €/m2
